index,unicode,slot,token,rom_offset,source,provenance,review
35,U+AD6D,529,1021,0x04220,glyphs/glyph_0035_U+AD6D_slot0529_tok1021_off04220.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
36,U+AD70,530,2021,0x04240,glyphs/glyph_0036_U+AD70_slot0530_tok2021_off04240.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
37,U+AD74,531,3021,0x04260,glyphs/glyph_0037_U+AD74_slot0531_tok3021_off04260.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
38,U+ADE0,532,4021,0x04280,glyphs/glyph_0038_U+ADE0_slot0532_tok4021_off04280.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
39,U+ADF8,533,5021,0x042A0,glyphs/glyph_0039_U+ADF8_slot0533_tok5021_off042A0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
40,U+ADF9,534,6021,0x042C0,glyphs/glyph_0040_U+ADF9_slot0534_tok6021_off042C0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
41,U+ADFC,535,7021,0x042E0,glyphs/glyph_0041_U+ADFC_slot0535_tok7021_off042E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
42,U+AE08,536,8021,0x04300,glyphs/glyph_0042_U+AE08_slot0536_tok8021_off04300.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
43,U+AE09,537,9021,0x04320,glyphs/glyph_0043_U+AE09_slot0537_tok9021_off04320.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
44,U+AE0B,538,A021,0x04340,glyphs/glyph_0044_U+AE0B_slot0538_tokA021_off04340.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
45,U+AE30,539,B021,0x04360,glyphs/glyph_0045_U+AE30_slot0539_tokB021_off04360.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
46,U+AE34,540,C021,0x04380,glyphs/glyph_0046_U+AE34_slot0540_tokC021_off04380.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
47,U+AE38,541,D021,0x043A0,glyphs/glyph_0047_U+AE38_slot0541_tokD021_off043A0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
48,U+AE43,542,E021,0x043C0,glyphs/glyph_0048_U+AE43_slot0542_tokE021_off043C0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
49,U+AE4C,543,F021,0x043E0,glyphs/glyph_0049_U+AE4C_slot0543_tokF021_off043E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
50,U+AE68,576,0024,0x04800,glyphs/glyph_0050_U+AE68_slot0576_tok0024_off04800.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
51,U+AE84,577,1024,0x04820,glyphs/glyph_0051_U+AE84_slot0577_tok1024_off04820.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
52,U+AF2D,578,2024,0x04840,glyphs/glyph_0052_U+AF2D_slot0578_tok2024_off04840.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
53,U+AF30,579,3024,0x04860,glyphs/glyph_0053_U+AF30_slot0579_tok3024_off04860.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
54,U+AF64,580,4024,0x04880,glyphs/glyph_0054_U+AF64_slot0580_tok4024_off04880.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
55,U+AFB8,581,5024,0x048A0,glyphs/glyph_0055_U+AFB8_slot0581_tok5024_off048A0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
56,U+AFC8,582,6024,0x048C0,glyphs/glyph_0056_U+AFC8_slot0582_tok6024_off048C0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
57,U+B04A,583,7024,0x048E0,glyphs/glyph_0057_U+B04A_slot0583_tok7024_off048E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
58,U+B054,584,8024,0x04900,glyphs/glyph_0058_U+B054_slot0584_tok8024_off04900.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
59,U+B057,585,9024,0x04920,glyphs/glyph_0059_U+B057_slot0585_tok9024_off04920.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
60,U+B05D,586,A024,0x04940,glyphs/glyph_0060_U+B05D_slot0586_tokA024_off04940.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
61,U+B098,587,B024,0x04960,glyphs/glyph_0061_U+B098_slot0587_tokB024_off04960.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
