index,unicode,slot,token,rom_offset,source,provenance,review
151,U+B9AC,839,7034,0x068E0,glyphs/glyph_0151_U+B9AC_slot0839_tok7034_off068E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
152,U+B9B0,840,8034,0x06900,glyphs/glyph_0152_U+B9B0_slot0840_tok8034_off06900.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
153,U+B9B4,841,9034,0x06920,glyphs/glyph_0153_U+B9B4_slot0841_tok9034_off06920.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
154,U+B9BC,842,A034,0x06940,glyphs/glyph_0154_U+B9BC_slot0842_tokA034_off06940.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
155,U+B9C8,843,B034,0x06960,glyphs/glyph_0155_U+B9C8_slot0843_tokB034_off06960.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
156,U+B9C9,844,C034,0x06980,glyphs/glyph_0156_U+B9C9_slot0844_tokC034_off06980.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
157,U+B9CC,845,D034,0x069A0,glyphs/glyph_0157_U+B9CC_slot0845_tokD034_off069A0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
158,U+B9CE,846,E034,0x069C0,glyphs/glyph_0158_U+B9CE_slot0846_tokE034_off069C0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
159,U+B9D0,847,F034,0x069E0,glyphs/glyph_0159_U+B9D0_slot0847_tokF034_off069E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
160,U+B9DD,848,0035,0x06A00,glyphs/glyph_0160_U+B9DD_slot0848_tok0035_off06A00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
161,U+B9DE,849,1035,0x06A20,glyphs/glyph_0161_U+B9DE_slot0849_tok1035_off06A20.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
162,U+B9E1,850,2035,0x06A40,glyphs/glyph_0162_U+B9E1_slot0850_tok2035_off06A40.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
163,U+B9E4,851,3035,0x06A60,glyphs/glyph_0163_U+B9E4_slot0851_tok3035_off06A60.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
164,U+BA3C,852,4035,0x06A80,glyphs/glyph_0164_U+BA3C_slot0852_tok4035_off06A80.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
165,U+BA40,853,5035,0x06AA0,glyphs/glyph_0165_U+BA40_slot0853_tok5035_off06AA0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
166,U+BA70,854,6035,0x06AC0,glyphs/glyph_0166_U+BA70_slot0854_tok6035_off06AC0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
167,U+BA74,855,7035,0x06AE0,glyphs/glyph_0167_U+BA74_slot0855_tok7035_off06AE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
168,U+BA78,856,8035,0x06B00,glyphs/glyph_0168_U+BA78_slot0856_tok8035_off06B00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
169,U+BA85,857,9035,0x06B20,glyphs/glyph_0169_U+BA85_slot0857_tok9035_off06B20.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
170,U+BAA8,858,A035,0x06B40,glyphs/glyph_0170_U+BAA8_slot0858_tokA035_off06B40.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
171,U+BAA9,859,B035,0x06B60,glyphs/glyph_0171_U+BAA9_slot0859_tokB035_off06B60.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
172,U+BAB0,860,C035,0x06B80,glyphs/glyph_0172_U+BAB0_slot0860_tokC035_off06B80.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
173,U+BAB8,861,D035,0x06BA0,glyphs/glyph_0173_U+BAB8_slot0861_tokD035_off06BA0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
174,U+BABB,862,E035,0x06BC0,glyphs/glyph_0174_U+BABB_slot0862_tokE035_off06BC0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
175,U+BABD,863,F035,0x06BE0,glyphs/glyph_0175_U+BABD_slot0863_tokF035_off06BE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
176,U+BB34,864,0036,0x06C00,glyphs/glyph_0176_U+BB34_slot0864_tok0036_off06C00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
177,U+BB38,891,B037,0x06F60,glyphs/glyph_0177_U+BB38_slot0891_tokB037_off06F60.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
178,U+BB3B,892,C037,0x06F80,glyphs/glyph_0178_U+BB3B_slot0892_tokC037_off06F80.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
179,U+BB3C,893,D037,0x06FA0,glyphs/glyph_0179_U+BB3C_slot0893_tokD037_off06FA0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
180,U+BB50,894,E037,0x06FC0,glyphs/glyph_0180_U+BB50_slot0894_tokE037_off06FC0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
181,U+BB54,895,F037,0x06FE0,glyphs/glyph_0181_U+BB54_slot0895_tokF037_off06FE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
182,U+BB58,916,4039,0x07280,glyphs/glyph_0182_U+BB58_slot0916_tok4039_off07280.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
183,U+BBF8,917,5039,0x072A0,glyphs/glyph_0183_U+BBF8_slot0917_tok5039_off072A0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
184,U+BBFC,918,6039,0x072C0,glyphs/glyph_0184_U+BBFC_slot0918_tok6039_off072C0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
185,U+BBFF,919,7039,0x072E0,glyphs/glyph_0185_U+BBFF_slot0919_tok7039_off072E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
186,U+BC14,920,8039,0x07300,glyphs/glyph_0186_U+BC14_slot0920_tok8039_off07300.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
187,U+BC18,921,9039,0x07320,glyphs/glyph_0187_U+BC18_slot0921_tok9039_off07320.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
188,U+BC1B,922,A039,0x07340,glyphs/glyph_0188_U+BC1B_slot0922_tokA039_off07340.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
189,U+BC1C,923,B039,0x07360,glyphs/glyph_0189_U+BC1C_slot0923_tokB039_off07360.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
190,U+BC1D,924,C039,0x07380,glyphs/glyph_0190_U+BC1D_slot0924_tokC039_off07380.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
191,U+BC29,925,D039,0x073A0,glyphs/glyph_0191_U+BC29_slot0925_tokD039_off073A0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
192,U+BC30,926,E039,0x073C0,glyphs/glyph_0192_U+BC30_slot0926_tokE039_off073C0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
193,U+BC84,927,F039,0x073E0,glyphs/glyph_0193_U+BC84_slot0927_tokF039_off073E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
194,U+BC88,951,703B,0x076E0,glyphs/glyph_0194_U+BC88_slot0951_tok703B_off076E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
195,U+BC95,952,803B,0x07700,glyphs/glyph_0195_U+BC95_slot0952_tok803B_off07700.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
196,U+BCA0,953,903B,0x07720,glyphs/glyph_0196_U+BCA0_slot0953_tok903B_off07720.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
197,U+BCBC,954,A03B,0x07740,glyphs/glyph_0197_U+BCBC_slot0954_tokA03B_off07740.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
198,U+BCF4,955,B03B,0x07760,glyphs/glyph_0198_U+BCF4_slot0955_tokB03B_off07760.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
199,U+BCF8,956,C03B,0x07780,glyphs/glyph_0199_U+BCF8_slot0956_tokC03B_off07780.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
200,U+BCFC,957,D03B,0x077A0,glyphs/glyph_0200_U+BCFC_slot0957_tokD03B_off077A0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
201,U+BD10,958,E03B,0x077C0,glyphs/glyph_0201_U+BD10_slot0958_tokE03B_off077C0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
202,U+BD24,959,F03B,0x077E0,glyphs/glyph_0202_U+BD24_slot0959_tokF03B_off077E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
203,U+BD80,960,003C,0x07800,glyphs/glyph_0203_U+BD80_slot0960_tok003C_off07800.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
204,U+BD84,961,103C,0x07820,glyphs/glyph_0204_U+BD84_slot0961_tok103C_off07820.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
205,U+BD88,962,203C,0x07840,glyphs/glyph_0205_U+BD88_slot0962_tok203C_off07840.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
206,U+BE44,963,303C,0x07860,glyphs/glyph_0206_U+BE44_slot0963_tok303C_off07860.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
207,U+BE4C,964,403C,0x07880,glyphs/glyph_0207_U+BE4C_slot0964_tok403C_off07880.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
208,U+BE5B,965,503C,0x078A0,glyphs/glyph_0208_U+BE5B_slot0965_tok503C_off078A0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
209,U+BE68,966,603C,0x078C0,glyphs/glyph_0209_U+BE68_slot0966_tok603C_off078C0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
210,U+BED0,967,703C,0x078E0,glyphs/glyph_0210_U+BED0_slot0967_tok703C_off078E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
211,U+BF08,968,803C,0x07900,glyphs/glyph_0211_U+BF08_slot0968_tok803C_off07900.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
212,U+BFD0,969,903C,0x07920,glyphs/glyph_0212_U+BFD0_slot0969_tok903C_off07920.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
213,U+BFD4,970,A03C,0x07940,glyphs/glyph_0213_U+BFD4_slot0970_tokA03C_off07940.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
214,U+C058,971,B03C,0x07960,glyphs/glyph_0214_U+C058_slot0971_tokB03C_off07960.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
215,U+C05C,972,C03C,0x07980,glyphs/glyph_0215_U+C05C_slot0972_tokC03C_off07980.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
216,U+C090,973,D03C,0x079A0,glyphs/glyph_0216_U+C090_slot0973_tokD03C_off079A0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
217,U+C0AC,974,E03C,0x079C0,glyphs/glyph_0217_U+C0AC_slot0974_tokE03C_off079C0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
218,U+C0B0,975,F03C,0x079E0,glyphs/glyph_0218_U+C0B0_slot0975_tokF03C_off079E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
219,U+C0B4,976,003D,0x07A00,glyphs/glyph_0219_U+C0B4_slot0976_tok003D_off07A00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
220,U+C0BC,977,103D,0x07A20,glyphs/glyph_0220_U+C0BC_slot0977_tok103D_off07A20.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
221,U+C0C1,978,203D,0x07A40,glyphs/glyph_0221_U+C0C1_slot0978_tok203D_off07A40.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
222,U+C0C8,979,303D,0x07A60,glyphs/glyph_0222_U+C0C8_slot0979_tok303D_off07A60.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
223,U+C0DD,980,403D,0x07A80,glyphs/glyph_0223_U+C0DD_slot0980_tok403D_off07A80.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
224,U+C11C,981,503D,0x07AA0,glyphs/glyph_0224_U+C11C_slot0981_tok503D_off07AA0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
225,U+C11D,982,603D,0x07AC0,glyphs/glyph_0225_U+C11D_slot0982_tok603D_off07AC0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
226,U+C120,983,703D,0x07AE0,glyphs/glyph_0226_U+C120_slot0983_tok703D_off07AE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
227,U+C124,984,803D,0x07B00,glyphs/glyph_0227_U+C124_slot0984_tok803D_off07B00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
228,U+C131,985,903D,0x07B20,glyphs/glyph_0228_U+C131_slot0985_tok903D_off07B20.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
229,U+C138,986,A03D,0x07B40,glyphs/glyph_0229_U+C138_slot0986_tokA03D_off07B40.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
230,U+C148,987,B03D,0x07B60,glyphs/glyph_0230_U+C148_slot0987_tokB03D_off07B60.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
231,U+C168,988,C03D,0x07B80,glyphs/glyph_0231_U+C168_slot0988_tokC03D_off07B80.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
232,U+C18C,989,D03D,0x07BA0,glyphs/glyph_0232_U+C18C_slot0989_tokD03D_off07BA0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
233,U+C18D,990,E03D,0x07BC0,glyphs/glyph_0233_U+C18D_slot0990_tokE03D_off07BC0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
234,U+C190,991,F03D,0x07BE0,glyphs/glyph_0234_U+C190_slot0991_tokF03D_off07BE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
235,U+C19C,1010,203F,0x07E40,glyphs/glyph_0235_U+C19C_slot1010_tok203F_off07E40.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
236,U+C218,1011,303F,0x07E60,glyphs/glyph_0236_U+C218_slot1011_tok303F_off07E60.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
237,U+C219,1012,403F,0x07E80,glyphs/glyph_0237_U+C219_slot1012_tok403F_off07E80.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
238,U+C228,1013,503F,0x07EA0,glyphs/glyph_0238_U+C228_slot1013_tok503F_off07EA0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
239,U+C232,1014,603F,0x07EC0,glyphs/glyph_0239_U+C232_slot1014_tok603F_off07EC0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
240,U+C2A4,1015,703F,0x07EE0,glyphs/glyph_0240_U+C2A4_slot1015_tok703F_off07EE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
241,U+C2A8,1016,803F,0x07F00,glyphs/glyph_0241_U+C2A8_slot1016_tok803F_off07F00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
242,U+C2B4,1017,903F,0x07F20,glyphs/glyph_0242_U+C2B4_slot1017_tok903F_off07F20.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
243,U+C2B5,1018,A03F,0x07F40,glyphs/glyph_0243_U+C2B5_slot1018_tokA03F_off07F40.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
244,U+C2B9,1019,B03F,0x07F60,glyphs/glyph_0244_U+C2B9_slot1019_tokB03F_off07F60.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
245,U+C2DC,1020,C03F,0x07F80,glyphs/glyph_0245_U+C2DC_slot1020_tokC03F_off07F80.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
246,U+C2E0,1021,D03F,0x07FA0,glyphs/glyph_0246_U+C2E0_slot1021_tokD03F_off07FA0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
247,U+C2E4,1022,E03F,0x07FC0,glyphs/glyph_0247_U+C2E4_slot1022_tokE03F_off07FC0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
248,U+C2EB,1023,F03F,0x07FE0,glyphs/glyph_0248_U+C2EB_slot1023_tokF03F_off07FE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
249,U+C2EC,1024,0040,0x08000,glyphs/glyph_0249_U+C2EC_slot1024_tok0040_off08000.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
250,U+C2ED,1056,0042,0x08400,glyphs/glyph_0250_U+C2ED_slot1056_tok0042_off08400.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
251,U+C2F6,1088,0044,0x08800,glyphs/glyph_0251_U+C2F6_slot1088_tok0044_off08800.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
252,U+C2F8,1120,0046,0x08C00,glyphs/glyph_0252_U+C2F8_slot1120_tok0046_off08C00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
253,U+C313,1152,0048,0x09000,glyphs/glyph_0253_U+C313_slot1152_tok0048_off09000.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
254,U+C368,1184,004A,0x09400,glyphs/glyph_0254_U+C368_slot1184_tok004A_off09400.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
255,U+C4F0,1216,004C,0x09800,glyphs/glyph_0255_U+C4F0_slot1216_tok004C_off09800.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
256,U+C4F8,1248,004E,0x09C00,glyphs/glyph_0256_U+C4F8_slot1248_tok004E_off09C00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
257,U+C528,1280,0050,0x0A000,glyphs/glyph_0257_U+C528_slot1280_tok0050_off0A000.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
258,U+C529,1312,0052,0x0A400,glyphs/glyph_0258_U+C529_slot1312_tok0052_off0A400.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
259,U+C53B,1344,0054,0x0A800,glyphs/glyph_0259_U+C53B_slot1344_tok0054_off0A800.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
260,U+C544,1376,0056,0x0AC00,glyphs/glyph_0260_U+C544_slot1376_tok0056_off0AC00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
261,U+C545,1408,0058,0x0B000,glyphs/glyph_0261_U+C545_slot1408_tok0058_off0B000.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
262,U+C548,1440,005A,0x0B400,glyphs/glyph_0262_U+C548_slot1440_tok005A_off0B400.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
263,U+C549,1472,005C,0x0B800,glyphs/glyph_0263_U+C549_slot1472_tok005C_off0B800.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
264,U+C54A,1504,005E,0x0BC00,glyphs/glyph_0264_U+C54A_slot1504_tok005E_off0BC00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
265,U+C54C,1536,0060,0x0C000,glyphs/glyph_0265_U+C54C_slot1536_tok0060_off0C000.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
266,U+C554,1568,0062,0x0C400,glyphs/glyph_0266_U+C554_slot1568_tok0062_off0C400.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
267,U+C557,1600,0064,0x0C800,glyphs/glyph_0267_U+C557_slot1600_tok0064_off0C800.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
268,U+C558,1632,0066,0x0CC00,glyphs/glyph_0268_U+C558_slot1632_tok0066_off0CC00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
269,U+C55E,1664,0068,0x0D000,glyphs/glyph_0269_U+C55E_slot1664_tok0068_off0D000.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
270,U+C560,1696,006A,0x0D400,glyphs/glyph_0270_U+C560_slot1696_tok006A_off0D400.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
271,U+C57C,1728,006C,0x0D800,glyphs/glyph_0271_U+C57C_slot1728_tok006C_off0D800.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
272,U+C598,1760,006E,0x0DC00,glyphs/glyph_0272_U+C598_slot1760_tok006E_off0DC00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
273,U+C5B4,1792,0070,0x0E000,glyphs/glyph_0273_U+C5B4_slot1792_tok0070_off0E000.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
274,U+C5B5,1824,0072,0x0E400,glyphs/glyph_0274_U+C5B5_slot1824_tok0072_off0E400.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
275,U+C5B8,1856,0074,0x0E800,glyphs/glyph_0275_U+C5B8_slot1856_tok0074_off0E800.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
276,U+C5BB,1888,0076,0x0EC00,glyphs/glyph_0276_U+C5BB_slot1888_tok0076_off0EC00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
277,U+C5BC,1920,0078,0x0F000,glyphs/glyph_0277_U+C5BC_slot1920_tok0078_off0F000.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
278,U+C5BD,1952,007A,0x0F400,glyphs/glyph_0278_U+C5BD_slot1952_tok007A_off0F400.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
279,U+C5C6,1984,007C,0x0F800,glyphs/glyph_0279_U+C5C6_slot1984_tok007C_off0F800.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
280,U+C5C8,2016,007E,0x0FC00,glyphs/glyph_0280_U+C5C8_slot2016_tok007E_off0FC00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
281,U+C5D0,2548,409F,0x13E80,glyphs/glyph_0281_U+C5D0_slot2548_tok409F_off13E80.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
282,U+C5EC,2549,509F,0x13EA0,glyphs/glyph_0282_U+C5EC_slot2549_tok509F_off13EA0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
283,U+C5ED,2550,609F,0x13EC0,glyphs/glyph_0283_U+C5ED_slot2550_tok609F_off13EC0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
284,U+C5F0,2551,709F,0x13EE0,glyphs/glyph_0284_U+C5F0_slot2551_tok709F_off13EE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
285,U+C600,2552,809F,0x13F00,glyphs/glyph_0285_U+C600_slot2552_tok809F_off13F00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
286,U+C601,2553,909F,0x13F20,glyphs/glyph_0286_U+C601_slot2553_tok909F_off13F20.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
287,U+C608,2554,A09F,0x13F40,glyphs/glyph_0287_U+C608_slot2554_tokA09F_off13F40.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
288,U+C624,2555,B09F,0x13F60,glyphs/glyph_0288_U+C624_slot2555_tokB09F_off13F60.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
289,U+C628,2556,C09F,0x13F80,glyphs/glyph_0289_U+C628_slot2556_tokC09F_off13F80.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
290,U+C62C,2557,D09F,0x13FA0,glyphs/glyph_0290_U+C62C_slot2557_tokD09F_off13FA0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
291,U+C640,2558,E09F,0x13FC0,glyphs/glyph_0291_U+C640_slot2558_tokE09F_off13FC0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
292,U+C644,2559,F09F,0x13FE0,glyphs/glyph_0292_U+C644_slot2559_tokF09F_off13FE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
293,U+C654,3103,F0C1,0x183E0,glyphs/glyph_0293_U+C654_slot3103_tokF0C1_off183E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
294,U+C655,3135,F0C3,0x187E0,glyphs/glyph_0294_U+C655_slot3135_tokF0C3_off187E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
295,U+C65C,3167,F0C5,0x18BE0,glyphs/glyph_0295_U+C65C_slot3167_tokF0C5_off18BE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
296,U+C694,3199,F0C7,0x18FE0,glyphs/glyph_0296_U+C694_slot3199_tokF0C7_off18FE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
297,U+C695,3231,F0C9,0x193E0,glyphs/glyph_0297_U+C695_slot3231_tokF0C9_off193E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
298,U+C6A9,3263,F0CB,0x197E0,glyphs/glyph_0298_U+C6A9_slot3263_tokF0CB_off197E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
299,U+C6B0,3295,F0CD,0x19BE0,glyphs/glyph_0299_U+C6B0_slot3295_tokF0CD_off19BE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
300,U+C6B1,3327,F0CF,0x19FE0,glyphs/glyph_0300_U+C6B1_slot3327_tokF0CF_off19FE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
